FlightPlanID,DronePortID,ETD,ETD_Seconds,OriginLat,OriginLon,DestinationLat,DestinationLon,DroneModel,EstimatedFlightTime,Ceiling
FP000017,DP2,00:01:15,75,40.6269,-73.8745,40.697592502949725,-73.77868576869882,Long Range FWVTOL,8.455562375729473,200.0
FP000003,DP2,00:01:56,116,40.6269,-73.8745,40.70002574766342,-74.00540415623013,Long Range FWVTOL,10.284253164917327,400.0
FP000008,DP2,00:05:31,331,40.6269,-73.8745,40.74861925266173,-73.83379340364115,Long Range FWVTOL,10.472228213495358,100.0
FP000006,DP2,00:06:05,365,40.6269,-73.8745,40.73641078853075,-73.90499167262206,Long Range FWVTOL,9.334151412774379,50.0
FP000010,DP2,00:07:05,425,40.6269,-73.8745,40.548501135926,-73.92150748973502,Long Range FWVTOL,7.184052774110298,400.0
FP000024,DP2,00:09:09,549,40.6269,-73.8745,40.633191106393205,-73.88239533669753,Light Quadcopter,1.4491002354251883,200.0
FP000021,DP2,00:11:25,685,40.6269,-73.8745,40.74647849237452,-73.86599660039224,Long Range FWVTOL,9.986878929097527,50.0
FP000002,DP2,00:13:08,788,40.6269,-73.8745,40.66102661065471,-73.96047873583689,Long Range FWVTOL,6.140051376555173,400.0
FP000018,DP2,00:13:55,835,40.6269,-73.8745,40.61726360221981,-73.92292042638243,Heavy Quadcopter,7.242492917865576,400.0
FP000011,DP2,00:14:30,870,40.6269,-73.8745,40.67404416975148,-73.94330875607048,Long Range FWVTOL,5.8662208693934685,400.0
FP000022,DP2,00:15:13,913,40.6269,-73.8745,40.5515902573102,-73.88036832109226,Long Range FWVTOL,6.291532163488965,400.0
FP000004,DP2,00:20:05,1205,40.6269,-73.8745,40.55815738427468,-73.8647521039221,Long Range FWVTOL,5.766012347821097,400.0
FP000015,DP2,00:21:32,1292,40.6269,-73.8745,40.53506533094562,-73.96646972595617,Long Range FWVTOL,9.62227387338831,400.0
FP000014,DP2,00:22:17,1337,40.6269,-73.8745,40.543879754210074,-73.80903021305149,Long Range FWVTOL,8.0702603227794,400.0
FP000005,DP2,00:22:29,1349,40.6269,-73.8745,40.7482779699849,-73.83504112451845,Long Range FWVTOL,10.425478006462628,100.0
FP000001,DP2,00:25:27,1527,40.6269,-73.8745,40.66897594608791,-73.72480382281142,Long Range FWVTOL,10.101082615494132,100.0
FP000007,DP2,00:30:19,1819,40.6269,-73.8745,40.72836936923996,-73.83822558736532,Long Range FWVTOL,8.767648801561057,200.0
FP000009,DP2,00:35:27,2127,40.6269,-73.8745,40.6843834776378,-73.85214479125845,Long Range FWVTOL,4.998192065255933,200.0
FP000012,DP2,00:36:39,2199,40.6269,-73.8745,40.56168458307795,-73.92037097132192,Long Range FWVTOL,6.165840345049693,400.0
FP000020,DP2,00:45:30,2730,40.6269,-73.8745,40.592152709016666,-74.04133798582257,Long Range FWVTOL,10.953011507267828,400.0
FP000019,DP2,00:46:48,2808,40.6269,-73.8745,40.56649257186298,-73.8822103821118,Long Range FWVTOL,5.061354339980486,400.0
FP000013,DP2,00:53:21,3201,40.6269,-73.8745,40.74778431171932,-73.84785715757089,Long Range FWVTOL,10.221109604226848,100.0
FP000023,DP2,00:56:49,3409,40.6269,-73.8745,40.62337262762114,-73.73370064856881,Long Range FWVTOL,8.916961932847771,50.0
FP000016,DP2,00:57:23,3443,40.6269,-73.8745,40.651983158343796,-74.02415433952812,Long Range FWVTOL,9.698838310037369,400.0
FP000047,DP2,01:01:01,3661,40.6269,-73.8745,40.55522364809059,-73.74079507255331,Long Range FWVTOL,10.364713622415968,400.0
FP000032,DP2,01:04:56,3896,40.6269,-73.8745,40.730450659852806,-73.98003118739337,Long Range FWVTOL,10.914367418329697,400.0
FP000049,DP2,01:11:11,4271,40.6269,-73.8745,40.65426349159071,-73.72490204729928,Long Range FWVTOL,9.737998095032554,200.0
FP000030,DP2,01:12:03,4323,40.6269,-73.8745,40.72696140376958,-73.9593866152796,Long Range FWVTOL,9.922666369176639,300.0
FP000037,DP2,01:13:51,4431,40.6269,-73.8745,40.54279107805414,-73.80070988724003,Long Range FWVTOL,8.428680088812841,400.0
FP000026,DP1,01:15:00,4500,40.7251,-73.9422,40.69383206058399,-73.89585319691149,Heavy Quadcopter,8.965112285714696,200.0
FP000038,DP2,01:21:56,4916,40.6269,-73.8745,40.60161142475026,-73.85486064170115,Heavy Quadcopter,5.595831511630759,300.0
FP000027,DP2,01:22:59,4979,40.6269,-73.8745,40.70821060118606,-73.8929784558959,Long Range FWVTOL,6.881000418782199,200.0
FP000028,DP2,01:25:08,5108,40.6269,-73.8745,40.49701286003293,-73.89744397649883,Long Range FWVTOL,10.929196237480209,400.0
FP000045,DP2,01:28:03,5283,40.6269,-73.8745,40.51014705976197,-73.95699312866273,Long Range FWVTOL,11.050559123306792,400.0
FP000048,DP2,01:31:45,5505,40.6269,-73.8745,40.532762500519894,-73.75985697283386,Long Range FWVTOL,10.69401154814751,400.0
FP000035,DP2,01:33:18,5598,40.6269,-73.8745,40.71400096575868,-73.94992957935914,Long Range FWVTOL,8.690702875637427,200.0
FP000033,DP2,01:34:53,5693,40.6269,-73.8745,40.701031817583726,-73.74860109419872,Long Range FWVTOL,10.082234762979315,200.0
FP000046,DP2,01:35:10,5710,40.6269,-73.8745,40.68101870998145,-73.71887701526926,Long Range FWVTOL,10.831264025275932,100.0
FP000039,DP2,01:36:24,5784,40.6269,-73.8745,40.59477174393539,-74.00795758264756,Long Range FWVTOL,8.863868479377901,400.0
FP000040,DP2,01:37:27,5847,40.6269,-73.8745,40.596715828458365,-73.7278634922417,Long Range FWVTOL,9.618660171829159,400.0
FP000043,DP2,01:37:28,5848,40.6269,-73.8745,40.54864664076445,-73.81480293434106,Long Range FWVTOL,7.542082477577746,400.0
FP000031,DP2,01:39:47,5987,40.6269,-73.8745,40.695830394569356,-73.94974673553011,Long Range FWVTOL,7.4636323656157195,200.0
FP000034,DP2,01:41:52,6112,40.6269,-73.8745,40.50369227613105,-73.84990842869111,Long Range FWVTOL,10.39249645542468,400.0
FP000042,DP2,01:48:19,6499,40.6269,-73.8745,40.72550352770081,-73.90215152912816,Long Range FWVTOL,8.407081335745328,100.0
FP000050,DP2,01:49:43,6583,40.6269,-73.8745,40.554217064351356,-73.81884128418511,Long Range FWVTOL,7.011842741179626,400.0
FP000036,DP2,01:51:49,6709,40.6269,-73.8745,40.55487760849588,-73.79192598941017,Long Range FWVTOL,7.963831199766948,400.0
FP000041,DP2,01:53:16,6796,40.6269,-73.8745,40.64909660292514,-74.0332870823179,Long Range FWVTOL,10.217810223004832,400.0
FP000044,DP2,01:54:18,6858,40.6269,-73.8745,40.563692448173335,-73.98715133153837,Long Range FWVTOL,8.86988295684326,400.0
FP000025,DP1,01:54:49,6889,40.7251,-73.9422,40.70380141284168,-73.8819067331823,Heavy Quadcopter,9.611029396918397,200.0
FP000029,DP2,01:56:40,7000,40.6269,-73.8745,40.568466915083036,-73.94255151681229,Long Range FWVTOL,6.505092145983517,400.0
FP000051,DP1,02:04:30,7470,40.7251,-73.9422,40.64774003614791,-73.88677037574719,Heavy Quadcopter,16.78237133896318,400.0
FP000077,DP2,02:05:16,7516,40.6269,-73.8745,40.59488528167473,-73.83341557545859,Heavy Quadcopter,8.519886624696952,400.0
FP000061,DP2,02:05:17,7517,40.6269,-73.8745,40.581863908059624,-73.89217854455839,Heavy Quadcopter,8.957912818617245,400.0
FP000063,DP2,02:05:26,7526,40.6269,-73.8745,40.58107098695867,-73.77941591952309,Long Range FWVTOL,7.131100253633285,400.0
FP000081,DP2,02:06:05,7565,40.6269,-73.8745,40.53836976464597,-73.75972999588578,Long Range FWVTOL,10.361014881261877,400.0
FP000053,DP1,02:06:27,7587,40.7251,-73.9422,40.689725592177574,-73.95139622174675,Heavy Quadcopter,6.872755330784404,200.0
FP000075,DP2,02:08:27,7707,40.6269,-73.8745,40.73103503384811,-73.9588971075272,Long Range FWVTOL,10.193690899958844,300.0
FP000055,DP1,02:10:32,7832,40.7251,-73.9422,40.701280527350704,-74.0155937567084,Heavy Quadcopter,11.535588654039369,400.0
FP000071,DP2,02:12:05,7925,40.6269,-73.8745,40.68974854082364,-73.92692133269422,Long Range FWVTOL,6.202442518556159,200.0
FP000072,DP2,02:17:03,8223,40.6269,-73.8745,40.73188946241661,-73.82258932518364,Long Range FWVTOL,9.35100854793169,200.0
FP000073,DP2,02:19:04,8344,40.6269,-73.8745,40.706539252794904,-73.98094774872148,Long Range FWVTOL,9.457906862393548,400.0
FP000069,DP2,02:19:17,8357,40.6269,-73.8745,40.62866422872055,-73.85343322553653,Light Quadcopter,2.682986935641912,50.0
FP000054,DP1,02:20:04,8404,40.7251,-73.9422,40.70268670218167,-74.02990921842479,Heavy Quadcopter,13.373509332501337,400.0
FP000060,DP2,02:21:17,8477,40.6269,-73.8745,40.60251667191201,-73.94940646844853,Long Range FWVTOL,5.159665710447611,400.0
FP000067,DP2,02:21:35,8495,40.6269,-73.8745,40.57267681360108,-73.77800662768799,Long Range FWVTOL,7.601367551927948,400.0
FP000076,DP2,02:24:40,8680,40.6269,-73.8745,40.53257849900545,-73.81564913708317,Long Range FWVTOL,8.704578962795336,400.0
FP000074,DP2,02:31:26,9086,40.6269,-73.8745,40.56372556141338,-73.9183580579592,Long Range FWVTOL,5.9557179977617904,400.0
FP000057,DP1,02:32:36,9156,40.7251,-73.9422,40.6746079965109,-73.99406074241415,Heavy Quadcopter,12.19864065112635,400.0
FP000078,DP2,02:32:45,9165,40.6269,-73.8745,40.69725293986081,-73.85166493636436,Long Range FWVTOL,6.0423890967737,200.0
FP000064,DP2,02:34:48,9288,40.6269,-73.8745,40.56761654139716,-73.98076791297004,Long Range FWVTOL,8.350170377419563,400.0
FP000068,DP2,02:36:58,9418,40.6269,-73.8745,40.56601877072119,-73.97086283578291,Long Range FWVTOL,7.938110831459183,400.0
FP000062,DP2,02:37:42,9462,40.6269,-73.8745,40.721689850453416,-73.97672575079369,Long Range FWVTOL,10.21258783897642,400.0
FP000070,DP2,02:38:04,9484,40.6269,-73.8745,40.63136257500049,-74.04630043567155,Long Range FWVTOL,10.880084766694766,400.0
FP000066,DP2,02:40:29,9629,40.6269,-73.8745,40.68170536198791,-73.73285333142942,Long Range FWVTOL,10.060033659936355,100.0
FP000065,DP2,02:43:00,9780,40.6269,-73.8745,40.60749597069917,-73.81850543005059,Heavy Quadcopter,8.906492768539735,400.0
FP000079,DP2,02:46:27,9987,40.6269,-73.8745,40.68183014369152,-73.98114923613923,Long Range FWVTOL,8.155668743576975,400.0
FP000052,DP1,02:47:43,10063,40.7251,-73.9422,40.795745208674425,-73.98460062304767,Heavy Quadcopter,14.792636333417521,400.0
FP000080,DP2,02:49:27,10167,40.6269,-73.8745,40.723089534150766,-73.90974535139088,Long Range FWVTOL,8.325830355393071,100.0
FP000056,DP1,02:56:51,10611,40.7251,-73.9422,40.776283141161805,-73.97946244308568,Heavy Quadcopter,11.141985099807298,400.0
