FlightPlanID,DronePortID,ETD,OriginLat,OriginLon,DestinationLat,DestinationLon,DroneModel,EstimatedFlightTime,Ceiling
FP000001,DP2,2025-05-15 00:46:11,40.6269,-73.8745,40.555433406905536,-73.85350900997241,Long Range FWVTOL,6.106490252045805,400.0
FP000002,DP2,2025-05-15 00:04:16,40.6269,-73.8745,40.531267723991036,-73.87733359801415,Long Range FWVTOL,7.977387226208998,400.0
FP000003,DP2,2025-05-15 00:16:38,40.6269,-73.8745,40.67646392972382,-73.74201164250141,Long Range FWVTOL,9.346405206779702,100.0
FP000004,DP2,2025-05-15 00:59:23,40.6269,-73.8745,40.54158529298403,-73.84005559649604,Long Range FWVTOL,7.441858050683039,400.0
FP000005,DP2,2025-05-15 00:33:41,40.6269,-73.8745,40.63295355719016,-73.93142717353237,Heavy Quadcopter,8.315954431719758,400.0
FP000006,DP2,2025-05-15 00:25:08,40.6269,-73.8745,40.60169354952546,-73.95209508254395,Long Range FWVTOL,5.343179316087178,400.0
FP000007,DP2,2025-05-15 00:03:39,40.6269,-73.8745,40.68768498458807,-73.95063754692796,Long Range FWVTOL,6.992844654226695,200.0
FP000008,DP2,2025-05-15 00:18:07,40.6269,-73.8745,40.65758207603,-73.90570421946558,Heavy Quadcopter,7.3876288764500755,400.0
FP000009,DP2,2025-05-15 00:30:31,40.6269,-73.8745,40.668862773252826,-73.8380788560978,Heavy Quadcopter,9.57757466883801,100.0
FP000010,DP2,2025-05-15 00:04:20,40.6269,-73.8745,40.61726452648845,-73.8820999229094,Light Quadcopter,1.873115706793875,200.0
FP000011,DP2,2025-05-15 00:52:28,40.6269,-73.8745,40.530172272766784,-73.98294694118222,Long Range FWVTOL,10.595119344586678,400.0
FP000012,DP2,2025-05-15 00:22:24,40.6269,-73.8745,40.55557024748365,-73.85642404780187,Long Range FWVTOL,6.0577713811241845,400.0
FP000013,DP2,2025-05-15 00:11:11,40.6269,-73.8745,40.63215085284897,-73.71953684780176,Long Range FWVTOL,9.817753407508933,200.0
FP000014,DP2,2025-05-15 00:00:28,40.6269,-73.8745,40.535710782191515,-73.82433964698856,Long Range FWVTOL,8.241795379235226,400.0
FP000015,DP2,2025-05-15 00:11:53,40.6269,-73.8745,40.59041755460405,-73.80346390777407,Long Range FWVTOL,5.42989983766131,400.0
FP000016,DP2,2025-05-15 00:46:48,40.6269,-73.8745,40.49955948252377,-73.83209650209167,Long Range FWVTOL,10.954245970312183,400.0
FP000017,DP2,2025-05-15 00:55:12,40.6269,-73.8745,40.59470417998911,-74.02893028737851,Long Range FWVTOL,10.138980414076178,400.0
FP000018,DP2,2025-05-15 00:45:49,40.6269,-73.8745,40.65112069450978,-73.85713830930312,Light Quadcopter,4.598785549845764,50.0
FP000019,DP2,2025-05-15 00:39:06,40.6269,-73.8745,40.52942280744798,-73.85832567387068,Long Range FWVTOL,8.193529573846892,400.0
FP000020,DP2,2025-05-15 00:47:04,40.6269,-73.8745,40.68832431495746,-73.98642701537305,Long Range FWVTOL,8.739745451331048,400.0
FP000021,DP2,2025-05-15 00:03:53,40.6269,-73.8745,40.52283642376195,-73.93429830869444,Long Range FWVTOL,9.469130623255438,400.0
FP000022,DP2,2025-05-15 00:57:18,40.6269,-73.8745,40.65013638027549,-73.72952934525122,Long Range FWVTOL,9.376722045945165,200.0
FP000023,DP2,2025-05-15 00:15:32,40.6269,-73.8745,40.663892574386885,-74.01854606741797,Long Range FWVTOL,9.622780853611786,400.0
FP000024,DP2,2025-05-15 00:41:29,40.6269,-73.8745,40.622349953387456,-73.94273986881343,Heavy Quadcopter,9.9108911493651,400.0
FP000025,DP1,2025-05-15 01:25:27,40.7251,-73.9422,40.807433715490035,-73.95172749862887,Heavy Quadcopter,15.754603302649118,300.0
FP000026,DP1,2025-05-15 01:34:29,40.7251,-73.9422,40.69357803862367,-73.89085286428974,Heavy Quadcopter,9.547373361660409,200.0
FP000027,DP2,2025-05-15 01:18:36,40.6269,-73.8745,40.69088046388072,-73.78966465934631,Long Range FWVTOL,7.5680502518000035,200.0
FP000028,DP2,2025-05-15 01:38:39,40.6269,-73.8745,40.651159448171995,-74.01483353285866,Long Range FWVTOL,9.10830883634765,400.0
FP000029,DP2,2025-05-15 01:41:55,40.6269,-73.8745,40.63338224621863,-74.03201410277967,Long Range FWVTOL,9.983992695857237,400.0
FP000030,DP2,2025-05-15 01:58:39,40.6269,-73.8745,40.7433036082114,-73.86534509553901,Long Range FWVTOL,9.724866765358904,50.0
FP000031,DP2,2025-05-15 01:41:43,40.6269,-73.8745,40.740110434418845,-73.86144579212635,Long Range FWVTOL,9.47734495689117,50.0
