Time,Mean_Distance
120.00,950.78
130.00,1513.57
140.00,2077.29
150.00,2598.60
160.00,3142.30
170.00,3792.07
180.00,4469.06
190.00,5010.77
200.00,5705.06
210.00,6479.71
220.00,7041.15
230.00,7563.94
240.00,8086.92
250.00,8628.08
260.00,9172.30
270.00,9695.69
280.00,10219.17
290.00,10781.72
300.00,11305.35
310.00,11829.04
320.00,12371.26
330.00,12915.56
340.00,10607.38
350.00,10943.48
360.00,11246.92
370.00,9391.76
380.00,9554.97
390.00,9360.62
400.00,9192.84
410.00,9042.72
420.00,8883.18
430.00,7932.61
440.00,8002.69
450.00,8143.11
460.00,8282.90
470.00,8347.13
480.00,8234.47
490.00,8170.44
500.00,8133.42
510.00,8103.66
520.00,8157.06
530.00,8262.18
540.00,8374.50
550.00,7881.10
560.00,8003.58
570.00,8154.14
580.00,8286.12
590.00,8438.02
600.00,8617.03
610.00,8830.16
620.00,9022.31
630.00,9257.78
640.00,10596.71
650.00,10907.78
660.00,11251.81
670.00,11471.61
680.00,11542.04
690.00,10275.82
700.00,10133.94
710.00,9786.94
720.00,10579.07
730.00,10066.41
740.00,9596.43
750.00,9148.53
760.00,8743.23
770.00,8358.09
780.00,7975.86
790.00,7567.09
800.00,7133.23
810.00,6697.50
820.00,6226.12
830.00,5779.76
840.00,5194.25
850.00,4943.01
860.00,4742.79
870.00,4394.17
880.00,4532.73
890.00,4479.20
900.00,4521.00
910.00,4603.35
920.00,4528.86
930.00,4740.20
940.00,4999.24
950.00,5301.03
960.00,5632.08
970.00,5960.47
980.00,6303.27
990.00,7267.81
1000.00,7660.95
1010.00,7995.89
1020.00,8191.04
1030.00,8400.28
1040.00,9249.87
1050.00,9235.13
1060.00,9262.63
1070.00,9333.18
1080.00,9308.04
1090.00,9216.40
1100.00,9068.88
1110.00,8931.15
1120.00,8799.73
1130.00,8486.20
1140.00,8058.43
1150.00,7627.12
1160.00,7202.09
1170.00,6784.39
1180.00,6373.67
1190.00,5949.49
1200.00,5561.45
1210.00,5161.90
1220.00,4713.17
1230.00,4317.19
1240.00,3944.89
1250.00,3589.36
1260.00,3276.49
1270.00,3488.71
1280.00,3424.51
1290.00,3349.90
1300.00,2682.98
1310.00,3151.67
1320.00,4110.27
1330.00,4158.43
1340.00,3394.31
1350.00,2911.67
1360.00,3024.81
1370.00,3845.74
1380.00,4360.67
1390.00,4875.86
1400.00,5397.49
1410.00,5939.55
1420.00,6183.86
1430.00,6341.76
1440.00,6542.74
1450.00,6777.66
1460.00,7028.55
1470.00,7317.78
1480.00,7702.77
1490.00,8152.43
1500.00,8623.82
1510.00,9102.27
1520.00,9622.52
1530.00,8713.77
1540.00,9132.14
1550.00,9525.93
1560.00,9914.45
