Time,DroneID,X,Y,Z,Completed
5.00,FLIGHT_001,-73985.71,0.00,40758.01,false
5.00,FLIGHT_002,-74005.39,0.00,40713.69,false
5.00,FLIGHT_003,-73983.23,0.00,40755.09,false
10.00,FLIGHT_001,-73985.66,0.00,40758.10,true
10.00,FLIGHT_002,-74005.45,0.00,40713.60,true
10.00,FLIGHT_003,-73965.97,0.00,40782.09,true
15.00,FLIGHT_001,-73985.66,0.00,40758.10,true
15.00,FLIGHT_002,-74005.45,0.00,40713.60,true
15.00,FLIGHT_003,-73965.97,0.00,40782.09,true
20.01,FLIGHT_001,-73985.66,0.00,40758.10,true
20.01,FLIGHT_002,-74005.45,0.00,40713.60,true
20.01,FLIGHT_003,-73965.97,0.00,40782.09,true
